calling_component_name,calling_component_type,app_name,app_owner_name,called_component_name,called_component_type
P995,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0995,COBOL
P996,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0996,COBOL
P997,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0997,COBOL
RETY,TRANSACTION,Omega Reissues,"Hutto, Amy",POCO4700,COBOL
RRTE,TRANSACTION,Rerates,"Hutto, Amy",PRCO9900,COBOL
RTBK,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCCO0151,COBOL
RTB1,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCCO0152,COBOL
RTB2,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCCO0153,COBOL
RTB3,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCCO0154,COBOL
SAR2,TRANSACTION,Omega Reissues,"Hutto, Amy",POCO4500,COBOL
STDX,TRANSACTION,Omega Reissues,"Hutto, Amy",POCO4800,COBOL
USX1,TRANSACTION,Life 70 - Underwriting,"Hutto, Amy",NPCO0160,COBOL
V532,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCSLC200,COBOL
WE10,TRANSACTION,Batch Trac,"Hutto, Amy",NBCO5110,COBOL
WE20,TRANSACTION,Batch Trac,"Hutto, Amy",NBCO5101,COBOL
W432,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCSLC200,COBOL
XOCR,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCAOC231,COBOL
