calling_component_name,calling_component_type,app_name,app_owner_name,called_component_name,called_component_type
PA15,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0A15,COBOL
PA20,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0A20,COBOL
PA30,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0A30,COBOL
PC11,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0110,COBOL
PC12,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0120,COBOL
PC13,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0130,COBOL
PC14,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0140,COBOL
PC15,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0150,COBOL
PC16,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0160,COBOL
PE20,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0E20,COBOL
PE30,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0E30,COBOL
PE40,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0E40,COBOL
PM11,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP130,COBOL
PM12,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP140,COBOL
PM13,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP135,COBOL
PM14,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP145,COBOL
PM15,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP150,COBOL
PM16,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP35A,COBOL
PM17,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP35B,COBOL
PM18,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP35C,COBOL
PM19,TRANSACTION,Policy Master Record Inquiry,"Hutto, Amy",PMCOP160,COBOL
POCR,TRANSACTION,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PCAOC230,COBOL
P010,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0010,COBOL
P020,TRANSACTION,Policy Remarks,"Hutto, Amy",CPCO0020,COBOL
